ID;time;location;sensorType;sensorId;value
75;1527755959268                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;54.0
76;1527755987580                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;55.0
77;1527755988517                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;55.0
78;1527756013610                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;55.0
79;1527756016442                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;56.0
80;1527756048168                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;57.0
81;1527756049096                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;57.0
82;1527756066996                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;57.0
83;1527756076400                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;58.0
84;1527756105583                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;59.0
85;1527756106509                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;59.0
86;1527756121350                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;59.0
87;1527756134540                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;60.0
88;1527756164077                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;61.0
89;1527756165087                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;61.0
90;1527756177671                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;61.0
91;1527756194916                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;62.0
92;1527756225643                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;63.0
93;1527756226652                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;63.0
94;1527756236976                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;63.0
95;1527756256568                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;64.0
96;1527756289023                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;65.0
97;1527756290024                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;65.0
98;1527756320210                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;66.0
99;1527756349330                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;66.0
100;1527756351512                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;67.0
101;1527756383323                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;68.0
102;1527756407852                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;68.0
103;1527756438240                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;69.0
104;1527756467853                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;69.0
105;1527756478928                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;70.0
106;1527756547166                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;71.0
107;1527756548256                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;71.0
108;1527756565494                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;71.0
109;1527756580588                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;72.0
110;1527756613932                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;73.0
111;1527756615017                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;73.0
112;1527756630047                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;73.0
